,lat,long,trip_count
427,40.6456,-73.7768,34
428,40.6438,-73.7898,24
429,40.7495,-74.0029,13
430,40.7782,-73.9565,15
431,40.7846,-73.9542,15
432,40.7739,-73.873,53
433,40.7669,-73.9536,19
434,40.7706,-73.957,16
435,40.7795,-73.9556,21
436,40.6446,-73.7819,58
437,40.7565,-73.9901,21
438,40.7346,-73.9908,17
439,40.742,-74.0047,16
440,40.7506,-73.9945,35
441,40.7503,-73.9875,13
442,40.7562,-73.9675,13
443,40.7501,-73.9912,30
444,40.7507,-73.991,14
445,40.7208,-74.01,34
446,40.7621,-73.966,20
447,40.7775,-73.9593,18
448,40.7493,-73.9922,16
449,40.7627,-73.9598,15
450,40.7678,-73.962,15
451,40.7379,-73.9964,20
452,40.7758,-73.9763,13
453,40.763,-73.9678,15
454,40.7793,-73.9558,15
455,40.7499,-73.9911,18
456,40.7523,-73.978,32
457,40.7339,-73.9806,29
458,40.7604,-74.0029,106
459,40.7401,-73.9949,43
460,40.779,-73.9624,13
461,40.7405,-74.0019,23
462,40.772,-73.9828,15
463,40.75,-73.9919,16
464,40.6453,-73.7768,103
465,40.7612,-73.94,21
466,40.77,-73.864,27
467,40.7524,-73.9782,38
468,40.7463,-73.9799,15
469,40.7949,-73.9661,19
470,40.7737,-73.96,13
471,40.7561,-73.9908,37
472,40.7649,-73.9705,13
473,40.7396,-74.0025,17
474,40.7698,-73.9649,13
475,40.7787,-73.9816,16
476,40.7335,-73.9997,13
477,40.7653,-73.955,13
478,40.7505,-73.9913,19
479,40.7852,-73.9731,16
480,40.7791,-73.9623,76
481,40.6436,-73.7901,14
482,40.7419,-74.0047,38
483,40.6446,-73.7818,19
484,40.7394,-74.0027,28
485,40.7593,-73.9725,14
486,40.777,-73.9594,13
487,40.7419,-73.9893,15
488,40.647,-73.7901,14
489,40.7387,-73.9995,13
490,40.7708,-73.957,13
491,40.7341,-73.9898,13
492,40.7558,-73.9648,14
493,40.7335,-73.9996,36
494,40.7603,-74.003,16
495,40.7552,-73.9651,17
496,40.7395,-74.0027,19
497,40.7665,-73.9868,16
498,40.7654,-73.9638,17
499,40.721,-74.01,32
500,40.741,-74.0076,23
501,40.7699,-73.8639,36
502,40.7776,-73.9787,17
503,40.7659,-73.9675,14
504,40.7398,-73.9951,23
505,40.6437,-73.79,20
506,40.7423,-73.9821,21
507,40.7402,-73.9863,15
508,40.7455,-73.991,13
509,40.7338,-73.9994,17
510,40.7495,-73.9921,19
511,40.7822,-73.9716,21
512,40.7421,-73.9934,17
513,40.7373,-73.9885,18
514,40.7277,-73.9912,14
515,40.751,-73.9941,106
516,40.7511,-73.994,104
517,40.764,-73.9543,23
518,40.7653,-73.9802,13
519,40.7225,-73.9887,13
520,40.773,-73.8853,54
521,40.7609,-73.9908,14
522,40.774,-73.8732,102
523,40.6486,-73.7834,40
524,40.7821,-73.9579,13
525,40.7509,-73.9942,25
526,40.7663,-73.9695,13
527,40.7497,-73.9918,22
528,40.7521,-73.9784,14
529,40.7562,-73.9906,43
530,40.7359,-74.006,14
531,40.7384,-73.9877,13
532,40.7688,-73.8627,83
533,40.741,-73.9943,14
534,40.784,-73.9547,15
535,40.7333,-74.0064,15
536,40.7336,-74.0029,15
537,40.7394,-74.0028,13
538,40.7768,-73.9555,19
539,40.7477,-73.9851,17
540,40.7309,-73.9829,13
541,40.774,-73.8729,161
542,40.7641,-73.9545,14
543,40.7818,-73.9756,14
544,40.7359,-73.9979,15
545,40.6445,-73.7825,38
546,40.773,-73.9582,18
547,40.778,-73.9784,16
548,40.7788,-73.9584,14
549,40.7523,-73.9782,33
550,40.7422,-73.9849,13
551,40.7422,-73.9747,13
552,40.75,-73.9913,56
553,40.7689,-73.8626,36
554,40.7629,-73.9678,22
555,40.7756,-73.9607,17
556,40.7609,-73.9753,16
557,40.7695,-73.9518,15
558,40.6471,-73.7898,17
559,40.763,-73.9676,15
560,40.7935,-73.9672,19
561,40.7483,-73.9847,18
562,40.7646,-73.9957,15
563,40.7571,-73.9899,24
