,lat,long,taxi_type,trip_count
258,40.7627,-73.9679,y,33
259,40.7366,-73.989,y,33
260,40.734,-73.871,g,32
261,40.7458,-73.9033,g,32
262,40.7137,-73.83,g,32
263,40.7899,-73.9523,g,32
264,40.7563,-73.9903,y,32
265,40.7501,-73.9918,y,32
266,40.7501,-73.9919,y,32
267,40.6468,-73.7899,y,32
268,40.7564,-73.9906,y,32
269,40.721,-74.01,y,32
270,40.7739,-73.8728,y,32
271,40.7568,-73.9899,y,32
272,40.7696,-73.8633,y,32
273,40.7644,-73.9958,y,32
274,40.756,-73.9908,y,32
275,40.7563,-73.9902,y,32
276,40.764,-73.9732,y,32
277,40.645,-73.7812,y,32
278,40.7562,-73.9903,y,32
279,40.7509,-73.9943,y,32
280,40.756,-73.9905,y,32
281,40.7701,-73.8633,y,32
282,40.7523,-73.978,y,32
283,40.8053,-73.9392,g,31
284,40.7785,-73.9821,y,31
285,40.7723,-73.9672,y,31
286,40.7522,-73.9783,y,31
287,40.7731,-73.8855,y,31
288,40.7523,-73.9783,y,31
289,40.7327,-73.9815,y,31
290,40.7564,-73.9905,y,31
291,40.6454,-73.7766,y,31
292,40.7054,-74.0172,y,31
293,40.7441,-74.0067,y,31
294,40.7498,-73.9917,y,31
295,40.7501,-73.9949,y,31
296,40.7499,-73.9912,y,31
297,40.7831,-73.9529,y,31
298,40.7509,-74.0057,y,31
299,40.77,-73.9178,g,30
300,40.7458,-73.9034,g,30
301,40.7277,-73.9852,y,30
302,40.7563,-73.9907,y,30
303,40.7418,-73.9749,y,30
304,40.7501,-73.9912,y,30
305,40.6457,-73.7768,y,30
306,40.7311,-74.0013,y,30
307,40.7408,-74.0076,y,30
308,40.7567,-73.99,y,30
309,40.7808,-73.9814,y,30
310,40.7343,-73.999,y,30
311,40.7191,-74.0051,y,30
312,40.6895,-73.9925,g,29
313,40.8054,-73.9392,g,29
314,40.7469,-73.8908,g,29
315,40.7502,-73.9912,y,29
316,40.7796,-73.9555,y,29
317,40.7567,-73.9899,y,29
318,40.7367,-73.9888,y,29
319,40.7701,-73.8635,y,29
320,40.7761,-73.9762,y,29
321,40.737,-73.9887,y,29
322,40.7509,-73.9908,y,29
323,40.7701,-73.8636,y,29
324,40.7339,-73.9806,y,29
325,40.7562,-73.9902,y,29
326,40.7316,-73.9823,y,29
327,40.7402,-73.9947,y,29
328,40.7561,-73.9903,y,29
329,40.74,-73.995,y,29
330,40.7628,-73.9678,y,29
331,40.7404,-74.0079,y,29
332,40.6847,-73.9778,g,28
333,40.7304,-73.862,g,28
334,40.8055,-73.9391,g,28
335,40.7394,-74.0027,y,28
336,40.7226,-73.9886,y,28
337,40.7509,-73.9909,y,28
338,40.7737,-73.9598,y,28
339,40.7638,-73.9733,y,28
340,40.742,-73.9748,y,28
341,40.7739,-73.8731,y,28
342,40.7507,-73.9945,y,28
343,40.7699,-73.864,y,28
344,40.7564,-73.9902,y,28
345,40.7524,-73.978,y,28
346,40.7415,-73.9938,y,28
347,40.7793,-73.9557,y,28
348,40.7497,-73.9912,y,28
349,40.6451,-73.7769,y,28
350,40.6459,-73.7768,y,28
351,40.8055,-73.9392,g,27
352,40.7617,-73.9254,g,27
353,40.7351,-73.8742,g,27
354,40.7211,-73.8441,g,27
355,40.8053,-73.9391,g,27
356,40.77,-73.8637,y,27
357,40.7505,-73.9945,y,27
358,40.7412,-74.0015,y,27
359,40.6487,-73.7834,y,27
360,40.7669,-73.9537,y,27
361,40.7395,-73.9869,y,27
362,40.7794,-73.9557,y,27
363,40.6437,-73.7898,y,27
364,40.7388,-74.0081,y,27
365,40.77,-73.864,y,27
366,40.7293,-73.9872,y,27
367,40.7507,-73.9944,y,27
368,40.7502,-73.9917,y,27
