,lat,long,trip_count
375,40.7892,-73.9666,11
376,40.7485,-73.9803,11
377,40.8037,-73.9672,16
378,40.7503,-73.9946,38
379,40.7664,-73.9516,13
380,40.7723,-73.9526,11
381,40.7526,-73.9932,16
382,40.7731,-73.8853,44
383,40.7546,-73.9775,11
384,40.7715,-73.9506,16
385,40.7726,-73.9496,11
386,40.7497,-73.9914,22
387,40.7831,-73.9552,15
388,40.7691,-73.9612,21
389,40.7562,-73.9903,38
390,40.7739,-73.8729,22
391,40.7734,-73.9551,13
392,40.7665,-73.9869,13
393,40.7805,-73.9498,13
394,40.7863,-73.9724,17
395,40.7629,-73.9596,14
396,40.7394,-73.9869,13
397,40.7668,-73.9567,13
398,40.7743,-73.9617,15
399,40.7545,-73.9657,17
400,40.7452,-73.9986,12
401,40.7305,-73.9805,12
402,40.744,-73.9241,15
403,40.7723,-73.9671,11
404,40.7471,-73.9792,17
405,40.7341,-74.0062,11
406,40.7566,-73.9902,18
407,40.7921,-73.9739,14
408,40.7564,-73.9906,41
409,40.7702,-73.9805,15
410,40.7814,-73.9494,12
411,40.7366,-73.9974,15
412,40.6449,-73.7818,21
413,40.7498,-73.9912,26
414,40.7389,-74.0082,23
415,40.7479,-73.9808,15
416,40.7585,-73.9659,13
417,40.7833,-73.9786,11
418,40.7769,-73.9554,16
419,40.7641,-73.9544,11
420,40.7468,-73.99,13
421,40.7693,-73.9848,12
422,40.7735,-73.9518,14
423,40.7499,-73.9913,41
424,40.7558,-73.9907,11
425,40.7793,-73.9537,12
426,40.7696,-73.8634,22
427,40.7699,-73.8634,27
428,40.7635,-73.9593,11
429,40.7873,-73.9717,14
430,40.7502,-73.9945,26
431,40.7784,-73.9454,12
432,40.7558,-73.9908,12
433,40.7389,-74.0081,36
434,40.767,-73.9539,27
435,40.7686,-73.9554,12
436,40.7271,-74.0034,14
437,40.77,-73.9879,11
438,40.7397,-73.9796,13
439,40.756,-73.9906,37
440,40.7952,-73.9659,12
441,40.7571,-73.9898,30
442,40.7628,-73.9657,11
443,40.7803,-73.95,11
444,40.7799,-73.9771,11
445,40.7561,-73.9909,16
446,40.7498,-73.9916,32
447,40.7683,-73.9824,27
448,40.7915,-73.9649,12
449,40.763,-73.9622,13
450,40.7559,-73.9907,21
451,40.774,-73.8731,37
452,40.7627,-73.9657,16
453,40.7562,-73.991,14
454,40.7516,-73.994,14
455,40.7492,-73.9917,12
456,40.7786,-73.9452,15
457,40.6468,-73.7901,13
458,40.6452,-73.7767,46
459,40.7492,-74.0032,15
460,40.7471,-73.9972,16
461,40.7922,-73.9644,23
462,40.7498,-73.9921,11
463,40.7724,-73.9525,13
464,40.7597,-73.9855,15
465,40.756,-73.977,13
466,40.7509,-73.9909,45
467,40.7567,-73.9901,20
468,40.7698,-73.8633,19
469,40.7346,-73.9988,16
470,40.7562,-73.9902,35
471,40.7182,-74.0148,15
472,40.7673,-73.9625,15
473,40.7592,-73.9958,14
474,40.7571,-73.964,12
475,40.7501,-73.992,22
476,40.7565,-73.9902,18
477,40.7344,-73.999,12
478,40.757,-73.9901,31
479,40.77,-73.9514,21
480,40.7697,-73.8637,34
481,40.7572,-73.9667,13
482,40.7629,-73.9931,11
483,40.7355,-74.006,11
484,40.7201,-73.9789,12
485,40.7795,-73.9447,16
486,40.7699,-73.9605,16
487,40.741,-73.9787,11
488,40.7654,-73.9549,17
489,40.7522,-74.0046,16
490,40.7691,-73.8628,20
491,40.7774,-73.9462,11
492,40.7749,-73.9509,11
493,40.7659,-73.9574,14
494,40.75,-73.9914,58
495,40.7331,-73.9999,22
496,40.6447,-73.7818,65
497,40.6457,-73.7768,16
498,40.7221,-74.0083,21
499,40.7753,-73.9821,19
500,40.7672,-73.9901,11
501,40.7851,-73.9537,12
502,40.7525,-73.9756,17
503,40.7474,-73.9813,16
504,40.7533,-73.9965,12
505,40.6487,-73.7835,12
506,40.7671,-73.9535,11
507,40.7556,-73.991,13
508,40.733,-74.0064,13
509,40.7673,-73.99,15
510,40.7503,-73.9945,33
511,40.728,-73.993,13
512,40.7305,-73.9925,11
513,40.7832,-73.9551,13
514,40.7851,-73.9696,18
515,40.7903,-73.9658,15
516,40.6469,-73.7899,15
517,40.762,-73.9602,23
518,40.7466,-73.9723,11
519,40.7449,-73.9951,13
520,40.7848,-73.9538,11
521,40.7525,-73.9784,13
522,40.7788,-73.9562,11
523,40.7752,-73.9537,14
524,40.7761,-73.9473,19
525,40.7604,-73.9613,17
526,40.7526,-73.9753,13
527,40.7503,-73.9913,54
528,40.6467,-73.79,16
529,40.7859,-73.9727,11
530,40.7317,-74.0011,15
531,40.7738,-73.9778,12
532,40.779,-73.9539,14
533,40.7604,-74.0028,19
534,40.75,-73.9918,30
535,40.7564,-73.9904,37
536,40.7558,-73.973,12
537,40.7649,-73.9663,28
538,40.7438,-73.988,11
539,40.7527,-73.9781,22
540,40.7762,-73.9559,12
541,40.7522,-73.9783,31
542,40.7787,-73.9451,11
543,40.7527,-73.9931,11
544,40.7658,-73.9546,14
545,40.7445,-73.9762,13
546,40.7343,-73.9991,17
547,40.7337,-73.9994,15
548,40.7447,-73.9915,14
549,40.7745,-73.9823,17
550,40.7713,-73.9505,11
551,40.7569,-73.9902,16
552,40.7565,-73.9907,14
553,40.7865,-73.9686,15
554,40.7567,-73.9902,18
555,40.7824,-73.9558,13
556,40.7403,-73.9792,11
557,40.745,-73.995,13
558,40.7514,-73.9939,13
559,40.767,-73.9536,20
560,40.7649,-73.9768,13
561,40.7248,-73.9874,12
562,40.767,-73.9537,26
563,40.7656,-73.9548,14
564,40.7651,-73.9978,12
565,40.77,-73.8638,13
566,40.7738,-73.9598,13
567,40.7729,-73.9584,20
568,40.7684,-73.9616,12
569,40.7744,-73.9635,13
570,40.769,-73.8628,24
