,lat,long,trip_count
162,40.8051,-73.9393,27
163,40.7564,-73.9298,16
164,40.805,-73.9393,23
165,40.684,-73.9761,21
166,40.6848,-73.9778,30
167,40.8051,-73.9392,17
168,40.5875,-73.9544,14
169,40.7024,-73.9896,13
170,40.7339,-73.8709,20
171,40.7668,-73.9216,16
172,40.7219,-73.9579,14
173,40.7005,-73.8076,13
174,40.7169,-73.9566,14
175,40.7667,-73.9215,24
176,40.7305,-73.862,18
177,40.8052,-73.9393,18
178,40.6924,-73.991,15
179,40.8091,-73.9481,14
180,40.7329,-73.8638,46
181,40.7213,-73.8441,27
182,40.7596,-73.8298,14
183,40.77,-73.9176,33
184,40.7214,-73.8445,17
185,40.8054,-73.939,25
186,40.7179,-73.9577,17
187,40.7351,-73.8741,16
188,40.6684,-73.9802,13
189,40.8057,-73.9391,13
190,40.8051,-73.9394,23
191,40.8049,-73.9389,15
192,40.7899,-73.9523,42
193,40.6839,-73.976,18
194,40.6685,-73.9801,17
195,40.7305,-73.8618,25
196,40.7025,-73.9896,17
197,40.6838,-73.976,13
198,40.5874,-73.9539,13
199,40.7752,-73.9121,14
200,40.7135,-73.8302,14
201,40.7137,-73.8298,16
202,40.747,-73.891,15
203,40.7469,-73.8907,17
204,40.7912,-73.9512,14
205,40.7591,-73.9192,13
206,40.7469,-73.8908,26
207,40.7025,-73.9868,22
208,40.743,-73.919,26
209,40.8051,-73.9395,17
210,40.7908,-73.9536,32
211,40.6688,-73.98,13
212,40.8051,-73.939,25
213,40.7667,-73.9213,14
214,40.8056,-73.9391,21
215,40.7328,-73.8638,65
216,40.7667,-73.9216,32
217,40.8051,-73.9389,18
218,40.7565,-73.93,14
219,40.6924,-73.9911,14
220,40.7304,-73.8619,15
221,40.7039,-73.9865,14
222,40.7469,-73.8912,13
223,40.7908,-73.9538,25
224,40.703,-73.9947,14
225,40.8022,-73.9495,14
226,40.5873,-73.954,14
227,40.7341,-73.8712,13
228,40.6893,-73.9925,13
229,40.7136,-73.8303,14
230,40.7459,-73.9034,21
231,40.7178,-73.9578,19
232,40.703,-73.9945,13
233,40.7907,-73.9539,13
234,40.7003,-73.8077,16
235,40.7906,-73.9538,13
236,40.6843,-73.9775,14
237,40.7668,-73.9217,21
238,40.7459,-73.9033,15
239,40.717,-73.9565,22
240,40.805,-73.939,14
241,40.743,-73.9191,15
242,40.8057,-73.9392,13
243,40.6894,-73.9924,19
244,40.735,-73.8743,17
245,40.7891,-73.9548,16
246,40.7907,-73.9537,23
247,40.7907,-73.9536,16
248,40.7893,-73.9547,15
249,40.7327,-73.8638,16
250,40.7214,-73.8441,15
251,40.8055,-73.939,14
252,40.7595,-73.8305,22
253,40.721,-73.8442,16
254,40.8106,-73.9527,20
255,40.805,-73.9394,14
256,40.6914,-73.9874,13
257,40.7886,-73.9532,14
258,40.6839,-73.9761,17
259,40.6804,-73.9492,15
260,40.6686,-73.9801,22
261,40.6921,-73.9874,16
262,40.8615,-73.881,16
263,40.7219,-73.958,16
264,40.7341,-73.8711,18
265,40.7465,-73.8908,19
266,40.7209,-73.8443,16
267,40.8046,-73.9552,15
268,40.7212,-73.844,13
269,40.645,-73.7811,54
270,40.741,-73.99,14
271,40.7841,-73.98,19
272,40.75,-73.9915,82
273,40.7389,-73.9915,13
274,40.7741,-73.8729,172
275,40.7489,-73.9922,13
276,40.7346,-74.0061,16
277,40.7793,-73.9507,17
278,40.7763,-73.9822,13
279,40.7701,-73.864,14
280,40.7434,-73.977,15
281,40.785,-73.979,21
282,40.6446,-73.7819,74
283,40.7634,-73.9737,16
284,40.7455,-73.9783,19
285,40.7718,-73.9612,19
286,40.7686,-73.9655,14
287,40.7513,-73.9903,13
288,40.7736,-73.8709,43
289,40.6447,-73.7819,210
290,40.7378,-74.0002,14
291,40.7737,-73.8709,267
292,40.7383,-73.9835,13
293,40.77,-73.8632,88
294,40.7428,-73.9927,13
295,40.7562,-73.9906,30
296,40.7698,-73.8638,49
297,40.7799,-73.9503,18
